trialResp.keys,trialResp.corr,trialResp.rt,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,loop.ran,loop.order,imagefile,corrAns,angle,participant,session,date,expName,psychopyVersion,frameRate
d,0,6.878000021,1,0,100,56,1,99,i26_50.jpg,s,50,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
s,0,6.289000034,1,0,100,23,1,99,i11_50_R.jpg,d,50,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
s,1,2.822000027,1,0,100,68,1,99,i31_150.jpg,s,150,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
s,0,9.009000063,1,0,100,69,1,99,i32_100_R.jpg,d,100,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
s,0,3.272000074,1,0,100,59,1,99,i27_150_R.jpg,d,150,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
s,1,4.738999844,1,0,100,81,1,99,i37_150.jpg,s,150,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
s,1,4.756999969,1,0,100,51,1,99,i24_50.jpg,s,50,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
d,1,5.023999929,1,0,100,31,1,99,i14_150_R.jpg,d,150,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
s,1,3.738999844,1,0,100,38,1,99,i18_50.jpg,s,50,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
s,0,2.322999954,1,0,100,32,1,99,i15_50_R.jpg,d,50,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
s,1,4.707999945,1,0,100,13,1,99,i6_100.jpg,s,100,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
d,1,3.004999876,1,0,100,14,1,99,i7_50_R.jpg,d,50,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
s,1,3.990999937,1,0,100,65,1,99,i30_50.jpg,s,50,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
s,1,1.786999941,1,0,100,45,1,99,i21_50.jpg,s,50,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
s,0,2.019999981,1,0,100,30,1,99,i14_50_R.jpg,d,50,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
s,1,1.454999924,1,0,100,29,1,99,i14_0.jpg,s,0,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
s,1,1.488999844,1,0,100,94,1,99,i44_0.jpg,s,0,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
d,1,3.023000002,1,0,100,10,1,99,i5_50_R.jpg,d,50,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
s,1,1.555999994,1,0,100,43,1,99,i20_50.jpg,s,50,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
d,0,3.005000114,1,0,100,24,1,99,i11_100.jpg,s,100,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
d,0,2.855000019,1,0,100,98,1,99,i47_100.jpg,s,100,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
d,1,4.656999826,1,0,100,76,1,99,i35_100_R.jpg,d,100,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
s,1,1.872999907,1,0,100,9,1,99,i5_0.jpg,s,0,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
s,1,4.388000011,1,0,100,4,1,99,i2_100.jpg,s,100,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
s,1,4.458999872,1,0,100,74,1,99,i34_150.jpg,s,150,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
s,0,3.605000019,1,0,100,35,1,99,i16_150_R.jpg,d,150,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
d,1,7.179000139,1,0,100,91,1,99,i42_100_R.jpg,d,100,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
s,1,3.340999842,1,0,100,90,1,99,i41_150.jpg,s,150,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
s,1,7.575000048,1,0,100,64,1,99,i29_150.jpg,s,150,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
d,1,7.843000174,1,0,100,55,1,99,i25_150_R.jpg,d,150,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
s,1,4.141000032,1,0,100,66,1,99,i30_150.jpg,s,150,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
s,0,2.154000044,1,0,100,39,1,99,i18_150_R.jpg,d,150,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
s,1,3.990999937,1,0,100,20,1,99,i9_100.jpg,s,100,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
s,1,1.739000082,1,0,100,84,1,99,i39_0.jpg,s,0,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
d,1,9.176000118,1,0,100,67,1,99,i31_100_R.jpg,d,100,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
s,1,4.023000002,1,0,100,60,1,99,i28_50.jpg,s,50,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
s,0,5.691000223,1,0,100,85,1,99,i39_100_R.jpg,d,100,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
s,1,1.804000139,1,0,100,41,1,99,i19_50.jpg,s,50,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
s,0,2.273000002,1,0,100,42,1,99,i19_150_R.jpg,d,150,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
d,1,3.757999897,1,0,100,37,1,99,i17_150_R.jpg,d,150,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
s,1,4.405999899,1,0,100,70,1,99,i32_150.jpg,s,150,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
s,1,5.559000015,1,0,100,54,1,99,i25_50.jpg,s,50,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
s,1,4.807999849,1,0,100,99,1,99,i48_100.jpg,s,100,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
s,1,1.821000099,1,0,100,75,1,99,i35_0.jpg,s,0,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
s,0,12.94799995,1,0,100,21,1,99,i10_50_R.jpg,d,50,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
s,1,5.924000025,1,0,100,6,1,99,i3_100.jpg,s,100,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
s,0,13.06099987,1,0,100,44,1,99,i20_150_R.jpg,d,150,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
d,1,6.390999794,1,0,100,78,1,99,i36_100_R.jpg,d,100,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
d,1,3.289999962,1,0,100,82,1,99,i38_100_R.jpg,d,100,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
d,1,2.756000042,1,0,100,25,1,99,i12_50_R.jpg,d,50,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
d,1,5.49000001,1,0,100,19,1,99,i9_50_R.jpg,d,50,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
d,1,4.838999987,1,0,100,93,1,99,i43_100_R.jpg,d,100,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
d,0,6.723999977,1,0,100,88,1,99,i40_150.jpg,s,150,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
d,1,2.322999954,1,0,100,52,1,99,i24_150_R.jpg,d,150,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
d,1,4.674000025,1,0,100,7,1,99,i4_50_R.jpg,d,50,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
d,1,2.672999859,1,0,100,95,1,99,i44_100_R.jpg,d,100,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
s,1,5.409000158,1,0,100,2,1,99,i1_100.jpg,s,100,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
s,1,2.673000097,1,0,100,15,1,99,i7_100.jpg,s,100,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
d,1,4.424000025,1,0,100,80,1,99,i37_100_R.jpg,d,100,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
s,1,2.155999899,1,0,100,0,1,99,i1_0.jpg,s,0,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
d,1,3.789999962,1,0,100,46,1,99,i21_150_R.jpg,d,150,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
d,1,7.075999975,1,0,100,89,1,99,i41_100_R.jpg,d,100,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
d,0,5.825000048,1,0,100,47,1,99,i22_50.jpg,s,50,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
s,0,1.49000001,1,0,100,48,1,99,i22_150_R.jpg,d,150,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
s,1,4.539000034,1,0,100,63,1,99,i29_50.jpg,s,50,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
d,1,2.754999876,1,0,100,73,1,99,i34_100_R.jpg,d,100,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
d,1,8.477000237,1,0,100,57,1,99,i26_150_R.jpg,d,150,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
d,1,1.654999971,1,0,100,33,1,99,i15_150_R.jpg,d,150,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
s,0,5.60800004,1,0,100,12,1,99,i6_50_R.jpg,d,50,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
d,1,10.75900006,1,0,100,28,1,99,i13_150_R.jpg,d,150,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
d,1,5.141000032,1,0,100,5,1,99,i3_50_R.jpg,d,50,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
s,1,3.323999882,1,0,100,77,1,99,i35_150.jpg,s,150,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
d,0,10.74499989,1,0,100,36,1,99,i17_50.jpg,s,50,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
s,1,9.055000067,1,0,100,92,1,99,i42_150.jpg,s,150,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
s,1,1.306999922,1,0,100,62,1,99,i29_0.jpg,s,0,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
s,1,1.606999874,1,0,100,34,1,99,i16_50.jpg,s,50,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
s,0,3.536999941,1,0,100,50,1,99,i23_150_R.jpg,d,150,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
d,1,2.391000032,1,0,100,3,1,99,i2_50_R.jpg,d,50,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
s,1,6.575000048,1,0,100,79,1,99,i36_150.jpg,s,150,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
d,1,3.65899992,1,0,100,27,1,99,i13_50_R.jpg,d,50,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
s,0,3.840999842,1,0,100,96,1,99,i45_100_R.jpg,d,100,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
s,1,5.575000048,1,0,100,22,1,99,i10_100.jpg,s,100,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
d,1,3.690999985,1,0,100,87,1,99,i40_100_R.jpg,d,100,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
d,0,4.389999866,1,0,100,8,1,99,i4_100.jpg,s,100,so30,001,2019-10-16_10h07.15.941,MentalRotationFinal,3.1.2,60
