trialResp.keys,trialResp.corr,trialResp.rt,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,loop.ran,loop.order,imagefile,corrAns,angle,participant,session,date,expName,psychopyVersion,frameRate
s,1,5.361999989,1,0,100,61,1,99,i28_150.jpg,s,150,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
s,1,3.349999905,1,0,100,43,1,99,i20_50.jpg,s,50,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
d,1,3.580999851,1,0,100,25,1,99,i12_50_R.jpg,d,50,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
s,1,3.531000137,1,0,100,4,1,99,i2_100.jpg,s,100,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
d,0,4.996000051,1,0,100,66,1,99,i30_150.jpg,s,150,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
s,1,3.703999996,1,0,100,98,1,99,i47_100.jpg,s,100,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
s,1,4.56099987,1,0,100,86,1,99,i39_150.jpg,s,150,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
s,1,3.63499999,1,0,100,53,1,99,i25_0.jpg,s,0,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
s,1,3.155999899,1,0,100,47,1,99,i22_50.jpg,s,50,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
s,1,8.942000151,1,0,100,11,1,99,i5_100.jpg,s,100,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
d,1,2.855999947,1,0,100,69,1,99,i32_100_R.jpg,d,100,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
d,1,3.171000004,1,0,100,7,1,99,i4_50_R.jpg,d,50,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
s,1,2.18599987,1,0,100,38,1,99,i18_50.jpg,s,50,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
d,1,7.085999966,1,0,100,76,1,99,i35_100_R.jpg,d,100,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
d,1,4.805000067,1,0,100,78,1,99,i36_100_R.jpg,d,100,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
s,1,5.094000101,1,0,100,97,1,99,i46_100.jpg,s,100,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
d,1,4.684999943,1,0,100,71,1,99,i33_100_R.jpg,d,100,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
d,1,2.77699995,1,0,100,3,1,99,i2_50_R.jpg,d,50,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
s,1,4.621000051,1,0,100,17,1,99,i8_100.jpg,s,100,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
s,1,10.58300018,1,0,100,77,1,99,i35_150.jpg,s,150,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
s,1,1.617000103,1,0,100,62,1,99,i29_0.jpg,s,0,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
d,0,2.231999874,1,0,100,13,1,99,i6_100.jpg,s,100,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
d,1,2.198000193,1,0,100,48,1,99,i22_150_R.jpg,d,150,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
s,0,5.076999903,1,0,100,57,1,99,i26_150_R.jpg,d,150,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
d,1,4.575999975,1,0,100,39,1,99,i18_150_R.jpg,d,150,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
d,1,11.78299999,1,0,100,59,1,99,i27_150_R.jpg,d,150,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
d,1,5.513000011,1,0,100,95,1,99,i44_100_R.jpg,d,100,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
d,1,5.036000013,1,0,100,73,1,99,i34_100_R.jpg,d,100,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
s,1,9.851999998,1,0,100,92,1,99,i42_150.jpg,s,150,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
s,1,1.727999926,1,0,100,29,1,99,i14_0.jpg,s,0,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
s,1,5.236000061,1,0,100,26,1,99,i12_100.jpg,s,100,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
s,1,2.11500001,1,0,100,51,1,99,i24_50.jpg,s,50,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
d,1,2.84800005,1,0,100,19,1,99,i9_50_R.jpg,d,50,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
s,1,5.483999968,1,0,100,68,1,99,i31_150.jpg,s,150,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
d,1,6.782000065,1,0,100,33,1,99,i15_150_R.jpg,d,150,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
s,0,4.476999998,1,0,100,50,1,99,i23_150_R.jpg,d,150,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
s,0,6.04399991,1,0,100,23,1,99,i11_50_R.jpg,d,50,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
s,1,2.253000021,1,0,100,60,1,99,i28_50.jpg,s,50,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
s,1,6.427999973,1,0,100,90,1,99,i41_150.jpg,s,150,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
d,1,8.098999977,1,0,100,16,1,99,i8_50_R.jpg,d,50,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
s,1,4.276000023,1,0,100,49,1,99,i23_50.jpg,s,50,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
s,1,3.569999933,1,0,100,2,1,99,i1_100.jpg,s,100,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
s,1,4.384000063,1,0,100,6,1,99,i3_100.jpg,s,100,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
s,1,2.180999994,1,0,100,65,1,99,i30_50.jpg,s,50,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
s,0,6.260999918,1,0,100,14,1,99,i7_50_R.jpg,d,50,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
d,1,5.617000103,1,0,100,96,1,99,i45_100_R.jpg,d,100,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
d,1,5.173000097,1,0,100,42,1,99,i19_150_R.jpg,d,150,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
d,1,4.118999958,1,0,100,46,1,99,i21_150_R.jpg,d,150,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
d,0,6.95600009,1,0,100,81,1,99,i37_150.jpg,s,150,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
d,1,6.978000164,1,0,100,87,1,99,i40_100_R.jpg,d,100,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
d,0,4.452000141,1,0,100,24,1,99,i11_100.jpg,s,100,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
s,0,4.771000147,1,0,100,31,1,99,i14_150_R.jpg,d,150,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
d,1,5.43599987,1,0,100,44,1,99,i20_150_R.jpg,d,150,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
s,0,2.339999914,1,0,100,28,1,99,i13_150_R.jpg,d,150,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
s,1,4.92599988,1,0,100,58,1,99,i27_50.jpg,s,50,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
s,1,9.252000093,1,0,100,70,1,99,i32_150.jpg,s,150,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
s,1,6.613999844,1,0,100,99,1,99,i48_100.jpg,s,100,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
d,1,5.928999901,1,0,100,93,1,99,i43_100_R.jpg,d,100,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
d,1,3.176000118,1,0,100,32,1,99,i15_50_R.jpg,d,50,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
s,1,11.70000005,1,0,100,88,1,99,i40_150.jpg,s,150,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
s,1,18.72800016,1,0,100,22,1,99,i10_100.jpg,s,100,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
s,1,1.253999949,1,0,100,94,1,99,i44_0.jpg,s,0,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
s,1,5.590000153,1,0,100,64,1,99,i29_150.jpg,s,150,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
s,1,1.614000082,1,0,100,45,1,99,i21_50.jpg,s,50,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
s,1,3.344000101,1,0,100,56,1,99,i26_50.jpg,s,50,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
s,1,2.165999889,1,0,100,18,1,99,i9_0.jpg,s,0,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
d,1,3.680999994,1,0,100,1,1,99,i1_50_R.jpg,d,50,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
d,0,20.77199984,1,0,100,72,1,99,i33_150.jpg,s,150,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
d,1,3.111000061,1,0,100,85,1,99,i39_100_R.jpg,d,100,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
s,1,3.897000074,1,0,100,74,1,99,i34_150.jpg,s,150,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
s,1,1.384000063,1,0,100,40,1,99,i19_0.jpg,s,0,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
s,1,2.909000158,1,0,100,8,1,99,i4_100.jpg,s,100,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
d,1,3.207999945,1,0,100,89,1,99,i41_100_R.jpg,d,100,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
s,1,1.934000015,1,0,100,75,1,99,i35_0.jpg,s,0,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
d,0,2.256000042,1,0,100,83,1,99,i38_150.jpg,s,150,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
s,1,2.090999842,1,0,100,34,1,99,i16_50.jpg,s,50,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
d,1,1.955000162,1,0,100,21,1,99,i10_50_R.jpg,d,50,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
s,1,2.453000069,1,0,100,63,1,99,i29_50.jpg,s,50,AB29,001,2019-10-16_10h06.57.151,MentalRotationFinal,3.1.2,60
